"date","year","month","day","weeknr","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","covid_cases_bs","pm25","temperature","precipitation","mode","total_per_mode"
2020-07-20,2020,7,20,30,-8.25333333333333,0.360294117647059,110.786516853933,-6.58241758241758,-25.9558011049724,2.84426229508197,11,4.69574404761905,21.3,5.6,"total_fuss",257462
2020-07-20,2020,7,20,30,-8.25333333333333,0.360294117647059,110.786516853933,-6.58241758241758,-25.9558011049724,2.84426229508197,11,4.69574404761905,21.3,5.6,"total_velo",440017
2020-07-27,2020,7,27,31,-16.32,-6.0948905109489,120.894117647059,-6.83516483516483,-34.3922651933702,2.94214876033058,32,4.99961309523809,21.3,5.6,"total_fahrzeug",1633110
2020-07-27,2020,7,27,31,-16.32,-6.0948905109489,120.894117647059,-6.83516483516483,-34.3922651933702,2.94214876033058,32,4.99961309523809,21.3,5.6,"total_oev",1379000
2020-07-27,2020,7,27,31,-16.32,-6.0948905109489,120.894117647059,-6.83516483516483,-34.3922651933702,2.94214876033058,32,4.99961309523809,21.3,5.6,"total_fuss",245550
2020-07-27,2020,7,27,31,-16.32,-6.0948905109489,120.894117647059,-6.83516483516483,-34.3922651933702,2.94214876033058,32,4.99961309523809,21.3,5.6,"total_velo",428808
2020-08-03,2020,8,3,32,-5.95302013422819,1.98518518518519,115.555555555556,-4.35911602209945,-28.3425414364641,2.99180327868852,17,6.6958618636499,21.1,127.9,"total_fahrzeug",1736961
2020-08-03,2020,8,3,32,-5.95302013422819,1.98518518518519,115.555555555556,-4.35911602209945,-28.3425414364641,2.99180327868852,17,6.6958618636499,21.1,127.9,"total_oev",1584000
2020-08-03,2020,8,3,32,-5.95302013422819,1.98518518518519,115.555555555556,-4.35911602209945,-28.3425414364641,2.99180327868852,17,6.6958618636499,21.1,127.9,"total_fuss",291518
2020-08-03,2020,8,3,32,-5.95302013422819,1.98518518518519,115.555555555556,-4.35911602209945,-28.3425414364641,2.99180327868852,17,6.6958618636499,21.1,127.9,"total_velo",453107
2020-08-10,2020,8,10,33,-8.5503355704698,-1.89130434782609,106.137931034483,-3.41758241758242,-22.1049723756906,2.81889763779528,55,7.29928034020281,21.1,127.9,"total_fahrzeug",1774324
2020-08-10,2020,8,10,33,-8.5503355704698,-1.89130434782609,106.137931034483,-3.41758241758242,-22.1049723756906,2.81889763779528,55,7.29928034020281,21.1,127.9,"total_oev",1676000
2020-08-10,2020,8,10,33,-8.5503355704698,-1.89130434782609,106.137931034483,-3.41758241758242,-22.1049723756906,2.81889763779528,55,7.29928034020281,21.1,127.9,"total_fuss",280200
2020-08-10,2020,8,10,33,-8.5503355704698,-1.89130434782609,106.137931034483,-3.41758241758242,-22.1049723756906,2.81889763779528,55,7.29928034020281,21.1,127.9,"total_velo",513990
2020-08-17,2020,8,17,34,-10.4558823529412,-1.67741935483871,97,-10.9223300970874,-20.7757009345794,2.23622047244094,43,3.03006153846154,21.1,127.9,"total_fahrzeug",1786253
2020-08-17,2020,8,17,34,-10.4558823529412,-1.67741935483871,97,-10.9223300970874,-20.7757009345794,2.23622047244094,43,3.03006153846154,21.1,127.9,"total_oev",1678000
2020-08-17,2020,8,17,34,-10.4558823529412,-1.67741935483871,97,-10.9223300970874,-20.7757009345794,2.23622047244094,43,3.03006153846154,21.1,127.9,"total_fuss",293313
2020-08-17,2020,8,17,34,-10.4558823529412,-1.67741935483871,97,-10.9223300970874,-20.7757009345794,2.23622047244094,43,3.03006153846154,21.1,127.9,"total_velo",500541
2020-08-24,2020,8,24,35,-11.4411764705882,-1.07936507936508,24.3636363636364,-14.3047619047619,-19.3425925925926,2.62698412698413,30,2.32550595238095,21.1,127.9,"total_fahrzeug",1785425
2020-08-24,2020,8,24,35,-11.4411764705882,-1.07936507936508,24.3636363636364,-14.3047619047619,-19.3425925925926,2.62698412698413,30,2.32550595238095,21.1,127.9,"total_oev",1755000
2020-08-24,2020,8,24,35,-11.4411764705882,-1.07936507936508,24.3636363636364,-14.3047619047619,-19.3425925925926,2.62698412698413,30,2.32550595238095,21.1,127.9,"total_fuss",279562
2020-08-24,2020,8,24,35,-11.4411764705882,-1.07936507936508,24.3636363636364,-14.3047619047619,-19.3425925925926,2.62698412698413,30,2.32550595238095,21.1,127.9,"total_velo",435292
2020-08-31,2020,8,31,36,-8.85294117647059,-1.55555555555556,65,-9.21698113207547,-18.9065420560748,1.37007874015748,28,4.1817802917535,21.1,127.9,"total_fahrzeug",1806363
2020-08-31,2020,8,31,36,-8.85294117647059,-1.55555555555556,65,-9.21698113207547,-18.9065420560748,1.37007874015748,28,4.1817802917535,21.1,127.9,"total_oev",1784000
2020-08-31,2020,8,31,36,-8.85294117647059,-1.55555555555556,65,-9.21698113207547,-18.9065420560748,1.37007874015748,28,4.1817802917535,21.1,127.9,"total_fuss",318019
2020-08-31,2020,8,31,36,-8.85294117647059,-1.55555555555556,65,-9.21698113207547,-18.9065420560748,1.37007874015748,28,4.1817802917535,21.1,127.9,"total_velo",470078
2020-09-07,2020,9,7,37,-4.93203883495146,-1.58695652173913,108.208333333333,-1.02877697841727,-16.1543624161074,0.440944881889764,31,6.90452650387135,17,46.2,"total_fahrzeug",1819179
