"objid","zst_nr","zst_name","breitengr","laengengr","gemeinde","zst_klasse","kombiniert","art","anz_arme","anz_fahrst","zweck","typ","str_typ","eigentum","dat_inbetr","gueltig","link_ext","dbl_format"
"44",671,"Zoll CH-D, Freiburgerstrasse",47.581186,7.604502,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2000-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"45",672,"Zoll CH-D, Weilstrasse",47.592075,7.64379,"Riehen","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2015-10-01 02:00:00+02:00","in Betrieb",,"xlsx"
"53",804,"Rosentalstrasse 28/27",47.564999,7.604208,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Fuss","Infrarot","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"57",808,"Wolfschlucht-Promenade",47.537088,7.589978,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Fuss","Infrarot","Andere","Kanton Basel-Stadt","2013-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"58",809,"Allschwilerstrasse 77/86",47.557273,7.569708,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Fuss","Infrarot","Hauptsammelstrasse (HSS)","Kanton Basel-Stadt","2013-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"65",816,"Schmiedgasse 7/14 (Riehen)",47.584845,7.650071,"Riehen","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Fuss","Infrarot","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-01-01 01:00:00+01:00","in Betrieb",,"xlsx"
"69",904,"Hammerstrasse 90",47.564458,7.595562,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo/Moto","Induktionsschlaufen","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2012-10-01 02:00:00+02:00","in Betrieb",,"xlsx"
"74",910,"St. Galler-Ring 101",47.554797,7.56718,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo/Moto","Induktionsschlaufen","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2011-09-21 02:00:00+02:00","in Betrieb",,"xlsx"
"82",100113,"Schwarzwaldbrücke lokal",47.557316,7.614556,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,6,"MIV","Induktionsschlaufen","Hauptverkehrsstrasse (HVS)","BUND","1974-01-01 01:00:00+01:00","in Betrieb","https://www.astra.admin.ch/astra/de/home/dokumentation/verkehrsdaten/daten-publikationen/automatische-strassenverkehrszaehlung/monats-jahresergebnisse.html","xlsx"
"86",100277,"A2 Gellert Nord",47.548581,7.614988,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,7,"MIV","Induktionsschlaufen","Hochleistungsstrasse (HLS)","BUND","2008-09-04 02:00:00+02:00","in Betrieb","https://www.astra.admin.ch/astra/de/home/dokumentation/verkehrsdaten/daten-publikationen/automatische-strassenverkehrszaehlung/monats-jahresergebnisse.html","xlsx"
"87",100278,"A2 Gellert Süd",47.544672,7.61613,"Basel","Dauerzaehlstelle","Reale Zaehlstelle","Querschnitt",2,3,"MIV","Induktionsschlaufen","Hochleistungsstrasse (HLS)","BUND","2008-09-04 02:00:00+02:00","in Betrieb","https://www.astra.admin.ch/astra/de/home/dokumentation/verkehrsdaten/daten-publikationen/automatische-strassenverkehrszaehlung/monats-jahresergebnisse.html","xlsx"
"90",200801,"Aeschengraben (Ri Nord)",47.548891,7.591479,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,2,"MIV","Plattenzaehlung","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2008-11-17 01:00:00+01:00","ausser Betrieb",,"xlsx"
"94",200805,"Klybeckstrasse 170",47.57015,7.590265,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Plattenzaehlung","Hauptsammelstrasse (HSS)","Kanton Basel-Stadt","1998-09-12 02:00:00+02:00","ausser Betrieb",,"xlsx"
"97",200808,"Luzernerring 74/91",47.568591,7.567764,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV","Plattenzaehlung","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","1998-06-13 02:00:00+02:00","ausser Betrieb",,"xlsx"
"106",201020,"Schwarzwaldallee (Bad. Bhf)",47.567505,7.606435,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,4,"MIV","Plattenzaehlung","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2010-03-08 01:00:00+01:00","ausser Betrieb",,"xlsx"
"108",201022,"Basler Straße / Bahnhof Stetten",47.602062,7.658982,"Larrach (D)","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo","Handzaehlung","Andere","Deutschland","2010-05-02 02:00:00+02:00","ausser Betrieb",,"pdf"
"113",201054,"Schwarzwaldallee/Maulbeerstrasse",47.568554,7.605815,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Knotenstrom",4,0,"MIV","Handzaehlung","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2010-03-09 01:00:00+01:00","ausser Betrieb",,"pdf"
"115",201056,"Baslerstrasse/Margarethenstich",47.543865,7.578295,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Knotenstrom",3,0,"MIV","Handzaehlung","Hauptverkehrsstrasse (HVS)","Kanton Basel-Stadt","2010-04-30 02:00:00+02:00","ausser Betrieb",,"pdf"
"118",201103,"Lörracherstrasse Grenze (Riehen)",47.595276,7.655592,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo+Fuss","Handzaehlung","Hauptverkehrsstrasse (HVS)","Andere","2011-03-24 01:00:00+01:00","ausser Betrieb",,"xlsx"
"122",201107,"Am Wiesengriener Grenze (Riehen)",47.596065,7.649774,"Riehen","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"Velo+Fuss","Handzaehlung","Andere","Andere","2011-03-21 01:00:00+01:00","ausser Betrieb",,"xlsx"
"135",201152,"Wander-/Gotthelfstrasse",47.55277,7.56896,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Knotenstrom",4,0,"MIV","Handzaehlung","Hauptsammelstrasse (HSS)","Kanton Basel-Stadt","2011-06-16 02:00:00+02:00","ausser Betrieb",,"pdf"
"136",201153,"Blotzheimerstrasse - Welschmattstrasse",47.56126,7.563205,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Knotenstrom",3,0,"MIV","Handzaehlung","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2011-11-09 01:00:00+01:00","ausser Betrieb",,"pdf"
"137",201154,"Ensisheimerstrasse - Lützelstrasse",47.564173,7.56736,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Knotenstrom",3,0,"MIV","Handzaehlung","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2011-11-10 01:00:00+01:00","ausser Betrieb",,"pdf"
"138",201155,"Michelbacherstrasse - Markircherstrasse",47.565514,7.562692,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Knotenstrom",4,0,"MIV","Handzaehlung","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2011-11-08 01:00:00+01:00","ausser Betrieb",,"pdf"
"142",201252,"Solothurner-/Hochstrasse",47.54565,7.591713,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Knotenstrom",2,0,"MIV+Fuss","Handzaehlung","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2012-09-27 02:00:00+02:00","ausser Betrieb",,"pdf"
"143",201301,"Altrheinweg 46",47.576783,7.587793,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",2,2,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-04-18 02:00:00+02:00","ausser Betrieb",,"pdf"
"144",201302,"Augensteinerstrasse",47.549246,7.60371,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-06-06 02:00:00+02:00","ausser Betrieb",,"pdf"
"146",201304,"Brantgasse 8",47.564243,7.597363,"Basel","Kurzzeitzaehlstelle","Reale Zaehlstelle","Querschnitt",1,1,"MIV+Velo/Moto","Radar","Siedlungsorientierte Strasse (SOS)","Kanton Basel-Stadt","2013-06-25 02:00:00+02:00","ausser Betrieb",,"pdf"
