FK_ZAEHLER,FK_STANDORT,year,month,day,hour,total_fuss,total_velo,datum
ECO09113499,3927,2021,1,12,12,0,12,2021-01-12T12:00:00Z
ECO09113499,3927,2021,1,12,13,0,6,2021-01-12T13:00:00Z
ECO09113499,3927,2021,1,12,14,0,3,2021-01-12T14:00:00Z
ECO09113499,3927,2021,1,12,15,0,6,2021-01-12T15:00:00Z
ECO09113499,3927,2021,1,12,16,0,4,2021-01-12T16:00:00Z
ECO09113499,3927,2021,1,12,17,0,8,2021-01-12T17:00:00Z
ECO09113499,3927,2021,1,12,18,0,8,2021-01-12T18:00:00Z
ECO09113499,3927,2021,1,12,19,0,9,2021-01-12T19:00:00Z
ECO09113499,3927,2021,1,12,20,0,1,2021-01-12T20:00:00Z
ECO09113499,3927,2021,1,12,21,0,3,2021-01-12T21:00:00Z
ECO09113499,3927,2021,1,12,22,0,0,2021-01-12T22:00:00Z
ECO09113499,3927,2021,1,12,23,0,0,2021-01-12T23:00:00Z
ECO09113499,3927,2021,1,13,0,0,0,2021-01-13T00:00:00Z
ECO09113499,3927,2021,1,13,1,0,0,2021-01-13T01:00:00Z
ECO09113499,3927,2021,1,13,2,0,0,2021-01-13T02:00:00Z
ECO09113499,3927,2021,1,13,3,0,1,2021-01-13T03:00:00Z
ECO09113499,3927,2021,1,13,4,0,0,2021-01-13T04:00:00Z
ECO09113499,3927,2021,1,13,5,0,5,2021-01-13T05:00:00Z
ECO09113499,3927,2021,1,13,6,0,25,2021-01-13T06:00:00Z
ECO09113499,3927,2021,1,13,7,0,39,2021-01-13T07:00:00Z
ECO09113499,3927,2021,1,13,8,0,27,2021-01-13T08:00:00Z
ECO09113499,3927,2021,1,13,9,0,14,2021-01-13T09:00:00Z
ECO09113499,3927,2021,1,13,10,0,12,2021-01-13T10:00:00Z
ECO09113499,3927,2021,1,13,11,0,16,2021-01-13T11:00:00Z
ECO09113499,3927,2021,1,13,12,0,15,2021-01-13T12:00:00Z
ECO09113499,3927,2021,1,13,13,0,15,2021-01-13T13:00:00Z
ECO09113499,3927,2021,1,13,14,0,12,2021-01-13T14:00:00Z
ECO09113499,3927,2021,1,13,15,0,10,2021-01-13T15:00:00Z
ECO09113499,3927,2021,1,13,16,0,20,2021-01-13T16:00:00Z
ECO09113499,3927,2021,1,13,17,0,16,2021-01-13T17:00:00Z
ECO09113499,3927,2021,1,13,18,0,10,2021-01-13T18:00:00Z
ECO09113499,3927,2021,1,13,19,0,10,2021-01-13T19:00:00Z
ECO09113499,3927,2021,1,13,20,0,7,2021-01-13T20:00:00Z
ECO09113499,3927,2021,1,13,21,0,5,2021-01-13T21:00:00Z
ECO09113499,3927,2021,1,13,22,0,1,2021-01-13T22:00:00Z
ECO09113499,3927,2021,1,13,23,0,4,2021-01-13T23:00:00Z
ECO09113499,3927,2021,1,14,0,0,0,2021-01-14T00:00:00Z
ECO09113499,3927,2021,1,14,1,0,0,2021-01-14T01:00:00Z
ECO09113499,3927,2021,1,14,2,0,0,2021-01-14T02:00:00Z
